Do you typically check a daily weather report?,How do you typically check the weather?,Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region,"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",incluence on checking smartwatch
Yes,The default weather app on your phone,30 - 44,Male,$50000 to $74999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,30 - 44,Male,$100000 to $124999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$150000 to $174999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Male,$100000 to $124999,West South Central,Somewhat likely,test
Yes,The Weather Channel,30 - 44,Male,$25000 to $49999,West South Central,Very unlikely,test
Yes,The Weather Channel,30 - 44,Male,Prefer not to answer,Pacific,Very likely,test
Yes,The default weather app on your phone,30 - 44,Male,$150000 to $174999,West North Central,Very likely,test
No,Internet search,18 - 29,Male,$0 to $9999,Pacific,Somewhat unlikely,test
No,The default weather app on your phone,30 - 44,Male,$100000 to $124999,East North Central,Somewhat likely,test
Yes,Local TV News,30 - 44,Male,$0 to $9999,Middle Atlantic,Very likely,test
No,The Weather Channel,18 - 29,Male,$10000 to $24999,Middle Atlantic,Very unlikely,test
Yes,Internet search,18 - 29,Male,$75000 to $99999,Middle Atlantic,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$10000 to $24999,Mountain,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$25000 to $49999,Middle Atlantic,Very likely,test
Yes,Local TV News,30 - 44,Female,$25000 to $49999,West South Central,Very unlikely,test
No,The default weather app on your phone,18 - 29,Male,$25000 to $49999,South Atlantic,Very likely,test
Yes,The default weather app on your phone,18 - 29,Male,$25000 to $49999,South Atlantic,Somewhat unlikely,test
Yes,Local TV News,30 - 44,Male,$150000 to $174999,West South Central,Very likely,test
Yes,The Weather Channel,30 - 44,Male,Prefer not to answer,Mountain,Very unlikely,test
Yes,The default weather app on your phone,30 - 44,Male,$25000 to $49999,East North Central,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$75000 to $99999,Middle Atlantic,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Male,$10000 to $24999,East North Central,Very likely,test
Yes,Local TV News,30 - 44,Male,$25000 to $49999,New England,Somewhat likely,test
Yes,The Weather Channel,45 - 59,Female,$200000 and up,Mountain,Very likely,test
No,Newspaper,18 - 29,Male,$0 to $9999,West North Central,Very unlikely,test
Yes,The Weather Channel,45 - 59,Female,$10000 to $24999,East North Central,Somewhat unlikely,test
Yes,Radio weather,30 - 44,Male,$25000 to $49999,Middle Atlantic,Somewhat likely,test
No,The default weather app on your phone,18 - 29,Male,$0 to $9999,West North Central,Somewhat likely,test
Yes,Internet search,18 - 29,Male,$0 to $9999,East South Central,Very likely,test
Yes,The default weather app on your phone,60+,Female,$50000 to $74999,South Atlantic,Very likely,test
No,Internet search,18 - 29,Male,$75000 to $99999,Pacific,Somewhat likely,test
Yes,The default weather app on your phone,18 - 29,Male,$50000 to $74999,West South Central,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$25000 to $49999,Mountain,Very likely,test
Yes,The default weather app on your phone,45 - 59,Female,$50000 to $74999,Pacific,Very likely,test
Yes,The Weather Channel,60+,Male,Prefer not to answer,South Atlantic,Very likely,test
Yes,The Weather Channel,30 - 44,Male,Prefer not to answer,Middle Atlantic,Very likely,test
Yes,Internet search,30 - 44,Male,$200000 and up,South Atlantic,Very likely,test
Yes,Local TV News,60+,Male,$150000 to $174999,New England,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$100000 to $124999,Middle Atlantic,Very likely,test
Yes,Local TV News,18 - 29,Male,$100000 to $124999,New England,Very likely,test
No,The default weather app on your phone,30 - 44,Male,$25000 to $49999,South Atlantic,Somewhat likely,test
No,The Weather Channel,30 - 44,Male,$10000 to $24999,South Atlantic,Somewhat likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Male,$50000 to $74999,West South Central,Somewhat likely,test
Yes,Internet search,18 - 29,Male,$10000 to $24999,Pacific,Very likely,test
Yes,Internet search,18 - 29,Male,$10000 to $24999,South Atlantic,Somewhat likely,test
Yes,The Weather Channel,60+,Male,$100000 to $124999,West South Central,Very unlikely,test
Yes,The default weather app on your phone,60+,Male,Prefer not to answer,East North Central,Very likely,test
No,Radio weather,30 - 44,Male,$50000 to $74999,Middle Atlantic,Very unlikely,test
No,Local TV News,30 - 44,Male,$200000 and up,Middle Atlantic,Somewhat unlikely,test
Yes,The default weather app on your phone,30 - 44,Male,$10000 to $24999,Pacific,Somewhat likely,test
Yes,Internet search,30 - 44,Male,Prefer not to answer,West South Central,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),18 - 29,Male,$25000 to $49999,West South Central,Very likely,test
Yes,Internet search,30 - 44,Male,$175000 to $199999,East North Central,Very unlikely,test
Yes,Local TV News,30 - 44,Male,Prefer not to answer,Middle Atlantic,Somewhat likely,test
Yes,Internet search,30 - 44,Male,$50000 to $74999,West North Central,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$75000 to $99999,West North Central,Very likely,test
Yes,The default weather app on your phone,18 - 29,Male,$125000 to $149999,East North Central,Very unlikely,test
No,Radio weather,30 - 44,Male,$125000 to $149999,South Atlantic,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$75000 to $99999,South Atlantic,Somewhat likely,test
Yes,A specific website or app (please provide the answer),18 - 29,Male,$0 to $9999,South Atlantic,Very likely,test
Yes,The Weather Channel,18 - 29,Male,$10000 to $24999,East North Central,Very unlikely,test
Yes,The default weather app on your phone,18 - 29,Male,$200000 and up,Pacific,Very likely,test
Yes,Newsletter,30 - 44,Male,$25000 to $49999,Pacific,Somewhat unlikely,test
Yes,A specific website or app (please provide the answer),18 - 29,Male,$10000 to $24999,Pacific,Somewhat likely,test
Yes,The default weather app on your phone,30 - 44,Male,$25000 to $49999,West South Central,Very likely,test
Yes,The default weather app on your phone,30 - 44,Male,$50000 to $74999,Middle Atlantic,Very likely,test
Yes,A specific website or app (please provide the answer),30 - 44,Male,$10000 to $24999,Middle Atlantic,Very likely,test
